year,month,rainfall,air_temp,humidity,location
2006,2,1.8,15,58,El Colmenar
2006,3,0,19.1,40,El Colmenar
2006,4,93.3,24,57,El Colmenar
2006,5,113.2,23.5,63,El Colmenar
2006,6,158,25,73,El Colmenar
2007,7,419.8,25,73,El Colmenar
2007,8,156.4,24.9,73,El Colmenar
2007,9,128.6,22,79,El Colmenar
2007,10,24.9,19.9,75,El Colmenar
2007,11,11.6,13.5,75,El Colmenar
2007,12,5,12.5,69,El Colmenar
2007,1,7,11.1,59,El Colmenar
2007,2,2.8,12.4,52,El Colmenar
2007,3,3.8,19.2,55,El Colmenar
2007,4,95.5,22.2,64,El Colmenar
2007,5,25.6,23.5,58,El Colmenar
2007,6,209.2,24.8,63,El Colmenar
2008,7,298.8,24.8,70,El Colmenar
2008,8,162.7,24.4,69,El Colmenar
2008,9,188.2,22.5,76,El Colmenar
2008,10,42.4,19.8,72,El Colmenar
2008,11,26,16.5,69,El Colmenar
2008,12,1.8,11.6,67,El Colmenar
2008,1,0.5,15.9,65,El Colmenar
2008,2,5.8,15.9,54,El Colmenar
2008,3,4,18.1,47,El Colmenar
2008,4,36,22.2,57,El Colmenar
2008,5,82.9,25,58,El Colmenar
2008,6,153.4,25.2,64,El Colmenar
2009,7,163.1,24.6,64,El Colmenar
2009,8,88.2,24.7,71,El Colmenar
2009,9,134.4,24.2,71,El Colmenar
2009,10,57.6,22.4,71,El Colmenar
2009,11,42.5,17.3,74,El Colmenar
2009,12,0,13.5,64,El Colmenar
2009,1,0.8,12.4,55,El Colmenar
2009,2,0.3,17.8,43,El Colmenar
2009,3,2,16.7,50,El Colmenar
2009,4,0.5,23.6,42,El Colmenar
2009,5,142.3,26.1,62,El Colmenar
2009,6,117.7,24.3,72,El Colmenar
2010,7,215,26,64,El Colmenar
2010,8,204.1,25.2,77,El Colmenar
2010,9,109.8,24.1,77,El Colmenar
2010,10,57.5,18.7,73,El Colmenar
2010,11,32.2,15.1,72,El Colmenar
2010,12,11.5,13.6,71,El Colmenar
2010,1,15.5,11.7,61,El Colmenar
2010,2,0,14.2,56,El Colmenar
2010,3,27.6,18.3,56,El Colmenar
2010,4,49.3,20.6,58,El Colmenar
2010,5,61.1,23.4,50,El Colmenar
2010,6,117.7,24.3,72,El Colmenar
2011,7,290.2,25.1,70,El Colmenar
2011,8,270.4,23.4,77,El Colmenar
2011,9,58.7,22,74,El Colmenar
2011,10,50.7,20.4,72,El Colmenar
2011,11,7.8,16.5,71,El Colmenar
2011,12,22.8,13.1,74,El Colmenar
2011,1,13.3,12.7,60,El Colmenar
2011,2,1.5,14.6,55,El Colmenar
2011,3,11.7,19.9,46,El Colmenar
2011,4,29.1,21,59,El Colmenar
2011,5,44.3,25.2,57,El Colmenar
2011,6,182.1,25.1,59,El Colmenar
2012,7,51.7,26.8,60,El Colmenar
2012,8,97.4,27,67,El Colmenar
2012,9,78.5,24.1,68,El Colmenar
2012,10,101.3,23.3,79,El Colmenar
2012,11,11.3,17.8,74,El Colmenar
2012,12,3,13.8,67,El Colmenar
2012,1,4.6,11.8,57,El Colmenar
2012,2,0.3,16.1,52,El Colmenar
2012,3,15.1,20.2,54,El Colmenar
2012,4,58.1,22.6,58,El Colmenar
2012,5,67.9,24.6,64,El Colmenar
2012,6,113.1,25.9,62,El Colmenar
2013,7,155.6,26,65,El Colmenar
2013,8,111.8,25.6,64,El Colmenar
2013,9,69.1,21.9,71,El Colmenar
2013,10,40.9,20.6,67,El Colmenar
2013,11,10.9,16.9,67,El Colmenar
2013,12,21.9,14.8,68,El Colmenar
2013,1,3,13.3,60,El Colmenar
2013,2,0,14.8,42,El Colmenar
2013,3,12.9,18.7,44,El Colmenar
2013,4,49.2,23.4,49,El Colmenar
2013,5,37.2,25.1,49,El Colmenar
2013,6,149.2,28.3,57,El Colmenar
2014,7,157.5,26.7,61,El Colmenar
2014,8,132.1,24.5,73,El Colmenar
2014,9,44.5,21.6,72,El Colmenar
2014,10,33.8,20.1,76,El Colmenar
2014,11,86.7,16.7,80,El Colmenar
2014,12,32.2,13.8,76,El Colmenar
2014,1,19,13.6,67,El Colmenar
2014,2,2,17.9,54,El Colmenar